nome,url,imagem,formato,categoria,acabamento,relevo,classe_ad,variacao_tonalidade,n_faces,espessura,junta,m2_caixa,pecas_caixa
Infinity Black Tre-di,https://www.biancogres.com.br/produto/infinity-black-tre-di/,https://www.biancogres.com.br/wp-content/uploads/2018/09/MOSAICO_BIANCOGRES_INFINITY_BLACK_TREDI.jpg,30X30,Porcelanato Esmaltado,Sim,Polido,Sim,LA,-,V3,"0,36",10,JUNTA SECA
Imperiale Lux,https://www.biancogres.com.br/produto/imperiale-lux/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMBIENTE_BIANCOGRES_IMPERIALE_LUX_62X62_SITE-1024x1024.jpg,62x62,Porcelanato Esmaltado,Sim,Polido,Não,LC,1,V3,10,8,"1,5"
Infinity Black Classico,https://www.biancogres.com.br/produto/infinity-black-classico/,https://www.biancogres.com.br/wp-content/uploads/2018/09/MOSAICO_BIANCOGRES_INFINITY_BLACK_CLASSICO.jpg,30X30,Porcelanato Esmaltado,Sim,Polido,Não,LC,-,V3,1,"8,8",3
Imola Ice,https://www.biancogres.com.br/produto/imola-ice/,https://www.biancogres.com.br/wp-content/uploads/2019/08/BIANCOGRES_IMOLA_ICE.jpg,60x60,Supergres,Não,Brilhante,Sim,LD,2,V2,1,8.1,3
Illuminato,https://www.biancogres.com.br/produto/illuminato/,https://www.biancogres.com.br/wp-content/uploads/2018/09/acessorio_biancogres_illuminato30x30.jpg,30X30,Porcelanato Esmaltado,Sim,Polido,Não,LC,-,V3,1,9,3
Illuminato Satin,https://www.biancogres.com.br/produto/illuminato-satin/,https://www.biancogres.com.br/wp-content/uploads/2019/03/AMBIENTE08_ILLUMINATOSATIN83X83_HD.jpg,83x83,Porcelanato Esmaltado,Sim,Acetinado,Não,LD,2,V3,9,8,"1,5"
Honey Light,https://www.biancogres.com.br/produto/honey-light/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMBIENTE_BIANCOGRES_HONEY_LIGHT_26X106_MOOVE_BIANCO_53X106_SITEEE.jpg,26x106,Porcelanato Esmaltado,Sim,Acetinado,Sim,LD,1,V4,14,7.44,"1,5"
Kit Matiz,https://www.biancogres.com.br/produto/kit-matiz/,https://www.biancogres.com.br/wp-content/uploads/2018/09/biancogres_porcelanato_matiz.jpg,20X20,Porcelanato Esmaltado,Sim,Acetinado,Não,LD,-,V4,9,"7,8",1
Laterizi Grigio,https://www.biancogres.com.br/produto/laterizi-grigio/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMBIENTE_BIANCOGRES_LATERIZZI_GRIGIO_SITE-1024x1024.jpg,32x60,Monoporosa,Sim,Acetinado,Sim,LA,-,V3,9,8,1
Laterizi Lux Acqua,https://www.biancogres.com.br/produto/laterizi-lux-acqua/,https://www.biancogres.com.br/wp-content/uploads/2019/03/10-Laterizi-Lux-Acqua-Final.jpg,32x60,Monoporosa,Sim,Brilhante,Sim,LA,-,V3,3,8,1
Laterizi Cotto,https://www.biancogres.com.br/produto/laterizi-cotto/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMBIENTE_LATERIZZI_COTTO_SITE.jpg,32x60,Monoporosa,Sim,Acetinado,Sim,LA,-,V3,9,8,1
Legno Grigio,https://www.biancogres.com.br/produto/legno-grigio/,https://www.biancogres.com.br/wp-content/uploads/2019/08/TRATAMENTO-LEGNO-GRIGIO3-1024x251.png,26x106,Porcelanato Esmaltado,Sim,Acetinado,Sim,LD,2,V4,18,7.44,1.5
Lazio,https://www.biancogres.com.br/produto/lazio/,https://www.biancogres.com.br/wp-content/uploads/2019/10/LAZIO-LINHA-NOBILE-1024x155.jpg,"18,7x122,7",Vinílico,Sim,Acetinado,Não,LC,-,V2,-,3,JUNTA SECA
Laterizi Lux Fendi,https://www.biancogres.com.br/produto/laterizi-lux-fendi/,https://www.biancogres.com.br/wp-content/uploads/2019/03/AMBIENTE06_LATERIZILUXFENDI-ORIGINALENUDE-CORALLO_20190222_HD.jpg,32x60,Monoporosa,Sim,Brilhante,Sim,LA,-,V3,3,8,1
Laterizi Blu,https://www.biancogres.com.br/produto/laterizi-blu-2/,https://www.biancogres.com.br/wp-content/uploads/2019/03/LATERIZI-BLU_1A_T1A-2_EDIT.jpg,32x60,Monoporosa,Sim,Acetinado,Sim,LA,-,V3,9,8,1
Laterizi Avorio,https://www.biancogres.com.br/produto/laterizi-avorio-2/,https://www.biancogres.com.br/wp-content/uploads/2019/03/LATERIZI-AVORIO_1A_T1A_EDIT.jpg,32x60,Monoporosa,Sim,Acetinado,Sim,LA,-,V3,9,8,1
Kit Spezia Deco,https://www.biancogres.com.br/produto/kit-spezia-deco/,https://www.biancogres.com.br/wp-content/uploads/2018/09/porcelanato_biancogres_spezia_deco_26x26-1-1024x512.jpg,26x26,Porcelanato Esmaltado,Sim,Acetinado,Sim,LD,1,V4,8,"8,8",1
Laterizi Bianco,https://www.biancogres.com.br/produto/laterizi-bianco/,https://www.biancogres.com.br/wp-content/uploads/2018/09/REVESTIMENTO_BIANCOGRES_LATERIZI_BIANCO_-32X60_F1-1024x554.jpg,32x60,Monoporosa,Sim,Acetinado,Sim,LA,-,V3,3,8,1
Kit Vietri Sul Mare,https://www.biancogres.com.br/produto/kit-vietri-sul-mare/,https://www.biancogres.com.br/wp-content/uploads/2018/09/KIT_VIETRI_SUL_MARE-e1542391383990-1024x364.jpg,10x30,Porcelanato Esmaltado,Sim,Polido,Não,LC,1,V4,8,"8,4",1
Kit Sistina,https://www.biancogres.com.br/produto/kit-sistina/,https://www.biancogres.com.br/wp-content/uploads/2018/09/KIT_SISTINA-1-1024x1024.jpg,20X20,Porcelanato Esmaltado,Sim,Acetinado,Não,LD,-,V4,9,"7,8",1
Kit Portugues Yellow,https://www.biancogres.com.br/produto/kit-portugues-yellow/,https://www.biancogres.com.br/wp-content/uploads/2018/09/acessorio_biancogres_portugues_yellow.jpg,"17,5x17,5",Porcelanato Esmaltado,Sim,Polido,Não,LC,1,V4,9,"8,8",1
Kit Palace,https://www.biancogres.com.br/produto/kit-palace/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMBIENTE_BIANCOGRES_CALACATA_SATIN_83X83_KIT_PALACE_20X20_SITE-1024x1024.jpg,"20,5X20,5",Porcelanato Esmaltado,Sim,Polido,Não,LC,1,V4,10,8,1
Legno Maso,https://www.biancogres.com.br/produto/legno-maso/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMBIENTE_BIANCOGRES_LEGNO_MASO_26X106-SITE.jpg,26x106,Porcelanato Esmaltado,Sim,Acetinado,Sim,LD,2,V4,9,7.44,"1,5"
Kit Organic,https://www.biancogres.com.br/produto/kit-organic/,https://www.biancogres.com.br/wp-content/uploads/2018/11/AMBIENTE_BIANCOGRES_CONNECTION_BEIGE_E_ORGANIC-1024x939.jpg,20X20,Porcelanato Esmaltado,Sim,Acetinado,Não,LD,-,V4,9,"7,8",1
Marmo Bianco,https://www.biancogres.com.br/produto/marmo-bianco/,https://www.biancogres.com.br/wp-content/uploads/2018/09/BIANCOGRES_MARMO_BIANCO_-1-1024x1024.jpg,60x60,Supergres,Não,Acetinado,Não,LC,2,V2,3,8.1,3
Marmo Bronze,https://www.biancogres.com.br/produto/marmo-bronze/,https://www.biancogres.com.br/wp-content/uploads/2019/03/AMBIENTE09_MARMOBRONZE_HD.jpg,83x83,Porcelanato Esmaltado,Sim,Acetinado,Não,LD,2,V3,6,8,"1,5"
Marmo Argento Lux,https://www.biancogres.com.br/produto/marmo-argento/,https://www.biancogres.com.br/wp-content/uploads/2019/08/F01_MARMO_ARGENTO_6-1024x1024.jpg,90x90,Porcelanato Esmaltado,Sim,Polido,Não,LC,1,V3,9,8,1.5
Marmo Argento Satin,https://www.biancogres.com.br/produto/marmo-argento-satin/,https://www.biancogres.com.br/wp-content/uploads/2019/08/AMBIENTE_BIANCOGRES_MARMO_ARGENTO_90X90-SITE-1024x1024.jpg,90x90,Porcelanato Esmaltado,Sim,Acetinado,Não,LD,2,V3,9,8,1.5
Maranello,https://www.biancogres.com.br/produto/maranello/,https://www.biancogres.com.br/wp-content/uploads/2019/10/05-Nuova-Maranello-Final-site-1024x768.jpg,18x122,Vinílico,Sim,Acetinado,Não,LC,-,V2,-,5,JUNTA SECA
Marino,https://www.biancogres.com.br/produto/marino/,https://www.biancogres.com.br/wp-content/uploads/2019/10/MARINO-LINHA-NUOVA-site-1024x131.jpg,18x122,Vinílico,Sim,Acetinado,Não,LC,-,V2,-,5,JUNTA SECA
